Context,Answer
What is a coronavirus?,Coronaviruses are a large family of viruses which may cause illness in animals or humans. 
What is a coronavirus?,"In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases"
What is COVID-19?,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019."
What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually."
What are the symptoms of COVID-19?,Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment.
What are the symptoms of COVID-19?,Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. 
What are the symptoms of COVID-19?,"Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention."
How does COVID-19 spread?,People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. 
How does COVID-19 spread?,People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. 
Can CoVID-19 be caught from a person who has no symptoms?,The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low.
Can CoVID-19 be caught from a person who has no symptoms?,"Many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill. "
Can I catch COVID-19 from the feces of someone with the disease?,"The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. "
What can I do to protect myself and prevent the spread of disease?,Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.
What can I do to protect myself and prevent the spread of disease?,Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.
What can I do to protect myself and prevent the spread of disease?,"Avoid touching eyes, nose and mouth."
What can I do to protect myself and prevent the spread of disease?,"Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately."
What can I do to protect myself and prevent the spread of disease?,"Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority."
What can I do to protect myself and prevent the spread of disease?,"If possible, avoid traveling to places  – especially if you are an older person or have diabetes, heart or lung disease."
What can I do to protect myself and prevent the spread of disease?,Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely).
What can I do to protect myself andProtection measures for persons who are in or have recently visited (past 14 days) areas where COVID-19 is spreading prevent the spread of disease?,"Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover."
Protection measures for persons who are in or have recently visited (past 14 days) areas where COVID-19 is spreading,"If you develop fever, cough and difficulty breathing, seek medical advice promptly as this may be due to a respiratory infection or other serious condition. Call in advance and tell your provider of any recent travel or contact with travelers."
How likely am I to catch COVID-19?,"The risk depends on where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there."
How likely am I to catch COVID-19?,"For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher."
How likely am I to catch COVID-19?,"COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go."
Should I worry about COVID-19,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care."
Should I worry about COVID-19,"We can channel our concerns into actions to protect ourselves, our loved ones and our communities."
Who is at risk of developing severe illness?,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes)  appear to develop serious illness more often than others. "
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. "
Are antibiotics effective in preventing or treating the COVID-19?,Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection. 
Are there any medicines or therapies that can prevent or cure COVID-19?,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. "
Are there any medicines or therapies that can prevent or cure COVID-19?,"WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19."
"Is there a vaccine, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. "
"Is there a vaccine, drug or treatment for COVID-19?",Those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care.
"Is there a vaccine, drug or treatment for COVID-19?",Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19.
"Is there a vaccine, drug or treatment for COVID-19?","The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing."
Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different."
Is COVID-19 the same as SARS?,SARS was more deadly but much less infectious than COVID-19. There have been no outbreaks of SARS anywhere in the world since 2003.
Should I wear a mask to protect myself,Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once.
Should I wear a mask to protect myself,If you are not ill or looking after someone who is ill then you are wasting a mask. 
Should I wear a mask to protect myself,"There is a world-wide shortage of masks, so WHO urges people to use masks wisely."
